Name,amplifications,neutral,deletions,average
SEMA4F,5.0,103.0,1.0,0.028966055045871554
SEMA4G,1.0,88.0,20.0,-0.07851284403669725
SEMA5A,30.0,79.0,0.0,0.21809449541284395
SEMA5B,3.0,93.0,13.0,-0.00832935779816514
SEMA6A,4.0,88.0,17.0,-0.04629816513761468
SEMA6B,1.0,84.0,24.0,-0.0889422018348624
SEMA6C,41.0,67.0,1.0,0.2489853211009174
SEMA6D,2.0,74.0,33.0,-0.12135412844036696
SEMA7A,2.0,79.0,28.0,-0.10419908256880736
SEMG1,6.0,94.0,9.0,0.04631834862385322
SEMG2,6.0,94.0,9.0,0.04631834862385322
SENP1,3.0,99.0,7.0,-0.008410091743119267
SENP2,2.0,95.0,12.0,0.0062596330275229315
SENP3,0.0,67.0,42.0,-0.17066238532110095
SENP5,5.0,91.0,13.0,0.00736697247706422
SENP6,1.0,82.0,26.0,-0.09866146788990825
SENP7,3.0,94.0,12.0,-0.01123394495412844
SENP8,2.0,78.0,29.0,-0.10670366972477065
SEPHS1,2.0,97.0,10.0,-0.02132568807339449
SEPHS2,11.0,97.0,1.0,0.09413577981651379
SEPSECS,2.0,99.0,8.0,-0.02454862385321101
SEPT1,11.0,97.0,1.0,0.09413577981651379
SEPT10,1.0,106.0,2.0,0.024292660550458724
SEPT11,3.0,100.0,6.0,-0.023568807339449542
SEPT12,10.0,97.0,2.0,0.08145688073394497
SEPT14,27.0,80.0,2.0,0.21127339449541271
SEPT2,0.0,102.0,7.0,-0.016016513761467892
SEPT3,2.0,78.0,29.0,-0.09767431192660549
SEPT4,5.0,101.0,3.0,0.08947064220183486
SEPT5,5.0,83.0,21.0,-0.04563577981651373
SEPT6,15.0,88.0,6.0,0.12579174311926603
SEPT7,25.0,82.0,2.0,0.19007339449541288
SEPT8,4.0,92.0,13.0,-0.02573394495412845
SEPT9,8.0,96.0,5.0,0.08406697247706425
SERAC1,1.0,81.0,27.0,-0.11071743119266056
SERBP1,1.0,93.0,15.0,-0.04199357798165137
SERF1A,6.0,89.0,14.0,-0.02245596330275229
SERF1B,5.0,92.0,12.0,-0.0170651376146789
SERF2,2.0,74.0,33.0,-0.12282293577981652
SERGEF,2.0,101.0,6.0,-0.011803669724770642
SERHL2,2.0,81.0,26.0,-0.0911743119266055
SERINC1,3.0,79.0,27.0,-0.09548990825688075
SERINC2,3.0,98.0,8.0,0.01010825688073395
SERINC3,8.0,92.0,9.0,0.05152935779816516
SERINC4,2.0,74.0,33.0,-0.12282293577981652
SERINC5,6.0,87.0,16.0,-0.03594495412844037
SERP1,4.0,94.0,11.0,0.011158715596330264
SERP2,1.0,72.0,36.0,-0.13275321100917434
SERPINA1,10.0,96.0,3.0,0.05546238532110092
SERPINA10,10.0,96.0,3.0,0.05546238532110092
SERPINA11,10.0,96.0,3.0,0.05546238532110092
SERPINA12,10.0,96.0,3.0,0.05546238532110092
SERPINA3,10.0,96.0,3.0,0.05840458715596329
SERPINA4,10.0,96.0,3.0,0.05840458715596329
SERPINA5,10.0,96.0,3.0,0.05840458715596329
SERPINA6,10.0,96.0,3.0,0.05546238532110092
SERPINA7,15.0,86.0,8.0,0.10406422018348623
SERPINA9,10.0,96.0,3.0,0.05546238532110092
SERPINB1,4.0,101.0,4.0,0.049549541284403704
SERPINB10,1.0,69.0,39.0,-0.14149449541284406
SERPINB11,1.0,69.0,39.0,-0.14149449541284406
SERPINB12,1.0,69.0,39.0,-0.14149449541284406
