,Mutation,Lscc_odds,Lscc_pvalue
372,AKAP14,0.0,1.0
373,AKAP17A,0.0,1.0
374,AKAP2,0.0,1.0
375,AKAP3,0.0,1.0
376,AKAP4,2.7142857142857144,0.30796057916495284
377,AKAP6,0.3017241379310345,0.4395747799286444
378,AKAP7,0.0,1.0
379,AKAP8,2.6551724137931036,0.48026998961578404
380,AKAP8L,2.6551724137931036,0.48026998961578404
381,AKAP9,1.3333333333333333,0.7061848360790945
382,AKIRIN2,0.0,1.0
383,AKNA,1.7857142857142858,0.616102392288252
384,AKR1A1,0.0,1.0
385,AKR1B10,0.0,1.0
386,AKR1B15,0.0,1.0
387,AKR1C2,inf,0.2777777777777764
388,AKR1C4,0.0,1.0
389,AKR7A2,0.0,0.5587198025039665
390,AKT1,0.0,1.0
391,AKT2,inf,0.2777777777777764
392,AKTIP,0.0,1.0
393,AL031664.1,inf,0.2777777777777764
394,AL034550.1,0.6379310344827587,1.0
395,AL049829.1,0.0,1.0
396,AL078584.1,1.3103448275862069,1.0
397,AL109923.1,0.0,1.0
398,AL356053.1,inf,0.2777777777777764
399,AL358113.1,1.3103448275862069,1.0
400,AL365273.1,0.0,1.0
401,AL513122.1,0.0,1.0
402,ALAS2,0.0,0.5587198025039665
403,ALB,0.0,0.5587198025039665
404,ALCAM,0.0,1.0
405,ALDH1B1,0.0,1.0
406,ALDH1L1,0.6379310344827587,1.0
407,ALDH1L2,0.0,1.0
408,ALDH2,1.3103448275862069,1.0
409,ALDH3A1,2.6551724137931036,0.48026998961578404
410,ALDH3A2,0.0,1.0
411,ALDH3B1,0.0,1.0
412,ALDH3B2,0.0,1.0
413,ALDH5A1,0.0,1.0
414,ALDH6A1,0.0,1.0
415,ALDH9A1,0.0,1.0
416,ALG10,0.0,0.5587198025039665
417,ALG10B,0.0,1.0
418,ALG13,1.7857142857142858,0.616102392288252
419,ALG14,inf,0.2777777777777764
420,ALG1L,0.0,1.0
421,ALG1L2,inf,0.07528556593977125
422,ALG3,2.6551724137931036,0.48026998961578404
423,ALG5,inf,0.2777777777777764
424,ALK,0.8620689655172413,1.0
425,ALKBH1,0.0,1.0
426,ALKBH2,2.6551724137931036,0.48026998961578404
427,ALKBH3,inf,0.2777777777777764
428,ALKBH4,0.0,1.0
429,ALLC,0.8620689655172413,1.0
430,ALMS1,1.1794871794871795,0.7519169961945972
431,ALOX12B,inf,0.2777777777777764
432,ALOX15B,0.0,1.0
433,ALOX5,0.0,0.31922157565783094
434,ALOXE3,inf,0.2777777777777764
435,ALPI,2.6551724137931036,0.48026998961578404
436,ALPK1,0.0,0.5741295871784345
437,ALPK2,1.3333333333333333,0.7061848360790945
438,ALPK3,1.3103448275862069,1.0
439,ALPL,2.6551724137931036,0.48026998961578404
440,ALPP,1.3103448275862069,1.0
441,ALPPL2,2.7142857142857144,0.30796057916495284
442,ALS2,1.3103448275862069,1.0
443,ALS2CL,0.0,1.0
444,ALS2CR11,0.0,1.0
445,ALS2CR12,1.3103448275862069,1.0
446,ALX1,0.0,1.0
447,ALX4,0.0,1.0
448,AMBN,0.0,1.0
449,AMBP,0.0,1.0
450,AMBRA1,0.8620689655172413,1.0
451,AMDHD1,inf,0.2777777777777764
452,AMELX,0.0,1.0
453,AMER1,0.8620689655172413,1.0
454,AMER2,0.0,0.31922157565783094
455,AMER3,3.7,0.11182583821904825
456,AMFR,0.0,1.0
457,AMH,0.0,1.0
458,AMIGO1,inf,0.2777777777777764
459,AMN,inf,0.2777777777777764
460,AMOT,5.5,0.18608319128509537
461,AMOTL2,0.0,1.0
462,AMPD2,2.6551724137931036,0.48026998961578404
463,AMPD3,0.0,1.0
464,AMPH,1.042857142857143,1.0
465,AMY1C,0.0,1.0
466,AMY2A,0.6379310344827587,1.0
467,AMY2B,0.0,1.0
468,AMZ1,0.0,0.5587198025039665
469,AMZ2,0.0,1.0
470,ANAPC1,2.7777777777777777,0.34476505402208235
471,ANAPC2,inf,0.07528556593977125
472,ANAPC5,inf,0.2777777777777764
473,ANGEL1,0.0,1.0
474,ANGPT1,0.0,1.0
475,ANGPT2,2.6551724137931036,0.48026998961578404
476,ANGPT4,1.3103448275862069,1.0
477,ANGPTL1,0.0,1.0
478,ANGPTL3,1.3103448275862069,1.0
479,ANGPTL4,1.3103448275862069,1.0
480,ANGPTL5,2.6551724137931036,0.48026998961578404
481,ANGPTL6,1.3103448275862069,1.0
482,ANGPTL7,inf,0.2777777777777764
483,ANHX,1.3103448275862069,1.0
484,ANK1,0.8571428571428571,1.0
485,ANK2,0.8461538461538461,1.0
486,ANK3,2.246153846153846,0.25973963649429777
487,ANKAR,0.0,1.0
488,ANKDD1A,0.0,1.0
489,ANKEF1,2.6551724137931036,0.48026998961578404
490,ANKFN1,1.7857142857142858,0.616102392288252
491,ANKH,1.3103448275862069,1.0
492,ANKHD1,0.0,0.5587198025039665
493,ANKIB1,0.0,0.5587198025039665
494,ANKK1,0.0,1.0
495,ANKLE1,inf,0.2777777777777764
496,ANKLE2,0.0,1.0
497,ANKMY1,2.6551724137931036,0.48026998961578404
498,ANKMY2,0.0,1.0
499,ANKRD1,0.0,1.0
500,ANKRD11,2.0555555555555554,0.3942997577165433
501,ANKRD12,1.3103448275862069,1.0
502,ANKRD13B,2.6551724137931036,0.48026998961578404
503,ANKRD13D,0.0,1.0
504,ANKRD17,0.0,0.5587198025039665
505,ANKRD18A,0.0,1.0
506,ANKRD2,0.0,1.0
507,ANKRD20A2,0.0,1.0
508,ANKRD20A4,2.7142857142857144,0.30796057916495284
509,ANKRD24,2.6551724137931036,0.48026998961578404
510,ANKRD26,1.3214285714285714,0.6690280818951142
511,ANKRD27,0.0,1.0
512,ANKRD28,0.0,1.0
513,ANKRD29,2.6551724137931036,0.48026998961578404
514,ANKRD30A,0.1896551724137931,0.10648054946443425
515,ANKRD30B,0.5079365079365079,0.3882644502294872
516,ANKRD30BL,inf,0.2777777777777764
517,ANKRD31,1.7857142857142858,0.616102392288252
518,ANKRD33,0.0,1.0
519,ANKRD33B,1.3103448275862069,1.0
520,ANKRD34B,0.0,1.0
521,ANKRD34C,inf,0.2777777777777764
522,ANKRD35,2.6551724137931036,0.48026998961578404
523,ANKRD36,0.0,0.5741295871784345
524,ANKRD36B,0.8620689655172413,1.0
525,ANKRD36C,inf,0.019886753267109432
526,ANKRD45,0.0,1.0
527,ANKRD49,0.0,1.0
528,ANKRD50,2.6551724137931036,0.48026998961578404
529,ANKRD52,0.0,1.0
