,Mutation,Hnscc_odds,Hnscc_pvalue
480,ANKRD33B,inf,0.2752293577981668
481,ANKRD34B,0.0,1.0
482,ANKRD34C,0.0,0.5597187687558982
483,ANKRD35,2.75,0.3034880144721127
484,ANKRD36B,inf,0.2752293577981668
485,ANKRD36C,0.0,0.573564090493129
486,ANKRD40,inf,0.2752293577981668
487,ANKRD45,inf,0.2752293577981668
488,ANKRD50,0.0,1.0
489,ANKRD52,0.0,1.0
490,ANKRD55,0.0,1.0
491,ANKRD6,2.689655172413793,0.4765545361875627
492,ANKRD63,inf,0.2752293577981668
493,ANKRD65,0.0,1.0
494,ANKRD7,inf,0.0739041794087671
495,ANKRD9,1.3275862068965518,1.0
496,ANKS1A,2.689655172413793,0.4765545361875627
497,ANKS1B,0.8735632183908046,1.0
498,ANKS3,0.0,1.0
499,ANKS4B,inf,0.2752293577981668
500,ANKS6,0.8735632183908046,1.0
501,ANKUB1,0.0,1.0
502,ANKZF1,1.3275862068965518,1.0
503,ANLN,0.0,0.5597187687558982
504,ANO1,0.0,1.0
505,ANO2,inf,0.0739041794087671
506,ANO3,0.0,1.0
507,ANO4,1.3275862068965518,1.0
508,ANO5,0.0,0.10358831483902219
509,ANO6,0.0,1.0
510,ANO7,0.0,1.0
511,ANO9,0.0,1.0
512,ANOS1,inf,0.2752293577981668
513,ANTXR2,0.0,1.0
514,ANXA11,0.0,1.0
515,ANXA3,inf,0.2752293577981668
516,ANXA5,0.0,1.0
517,ANXA6,0.0,1.0
518,ANXA8L1,0.0,1.0
519,ANXA9,0.0,1.0
520,AOAH,0.0,1.0
521,AOC1,5.571428571428571,0.1830337153581604
522,AOC3,0.8735632183908046,1.0
523,AOX1,0.0,1.0
524,AP1G1,0.0,1.0
525,AP1G2,0.0,1.0
526,AP1M2,0.0,1.0
527,AP2A1,0.0,1.0
528,AP2A2,1.3275862068965518,1.0
529,AP3B1,2.689655172413793,0.4765545361875627
530,AP3B2,0.5103448275862069,1.0
531,AP3D1,2.689655172413793,0.4765545361875627
532,AP3M1,0.0,1.0
533,AP4E1,0.0,1.0
534,AP4M1,0.0,1.0
535,AP5Z1,0.0,1.0
536,APBA1,2.689655172413793,0.4765545361875627
537,APBA2,1.3275862068965518,1.0
538,APBB1,0.0,0.5597187687558982
539,APBB1IP,0.0,1.0
540,APBB2,0.0,1.0
541,APBB3,0.0,1.0
542,APC,1.3392857142857142,0.6661147411828027
543,APC2,2.75,0.3034880144721127
544,APCDD1,0.0,1.0
545,APCDD1L,0.0,1.0
546,APCS,0.0,1.0
547,APEH,0.0,1.0
548,APEX1,0.0,1.0
549,APEX2,inf,0.2752293577981668
550,API5,0.0,1.0
551,APIP,0.0,1.0
552,APLF,0.0,1.0
553,APLNR,0.0,1.0
554,APLP1,0.0,1.0
555,APMAP,inf,0.2752293577981668
556,APOA4,0.0,1.0
557,APOB,0.44155844155844154,0.5086121595375376
558,APOBEC1,0.0,1.0
559,APOBEC3B,0.0,1.0
560,APOBEC3D,0.0,1.0
561,APOBEC3F,2.75,0.3034880144721127
562,APOBEC4,0.0,1.0
563,APOBR,0.0,0.5597187687558982
564,APOH,2.689655172413793,0.4765545361875627
565,APOL2,0.0,1.0
566,APOL3,0.0,1.0
567,APOL4,0.0,1.0
568,APOL5,2.689655172413793,0.4765545361875627
569,APOL6,0.0,1.0
570,APOM,inf,0.2752293577981668
571,APOPT1,0.0,1.0
572,APP,inf,0.2752293577981668
573,APPL1,inf,0.2752293577981668
574,AQP10,inf,0.2752293577981668
575,AQP11,0.0,1.0
576,AQP12A,2.689655172413793,0.4765545361875627
577,AQP12B,0.0,1.0
578,AQP2,0.0,1.0
579,AQP5,2.689655172413793,0.4765545361875627
580,AQP9,inf,0.2752293577981668
581,AQR,0.0,1.0
582,AR,5.571428571428571,0.1830337153581604
583,ARAF,0.0,0.5597187687558982
584,ARAP1,0.8735632183908046,1.0
585,ARAP2,0.0,1.0
586,ARAP3,0.0,1.0
587,ARF5,0.0,1.0
588,ARF6,0.0,1.0
589,ARFGAP1,0.0,1.0
