protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
GNB3	ENSP00000229264	0.9850299018045323	luad	0.007091267153311626	24	57
MASP2	ENSP00000383690	0.9850299018045323	luad	0.006506785381025115	31	70
SLC7A6	ENSP00000219343	0.9850299018045323	luad	-0.012625805824501957	20	29
ITSN2	ENSP00000347244	0.9850299018045323	luad	0.0016165522511413927	31	70
KDM1B	ENSP00000499208	0.9850299018045323	luad	-0.00281004646282499	31	70
SPTB	ENSP00000374370	0.9850299018045323	luad	0.015256430033080526	16	18
LACTB2	ENSP00000276590	0.9850299018045323	luad	0.002966864907629818	31	70
CCNB1	ENSP00000256442	0.9850299018045323	luad	-0.011086376640484064	29	68
UNC13B	ENSP00000367756	0.9850299018045323	luad	-0.002237829427149063	31	70
VOPP1	ENSP00000285279	0.9850299018045323	luad	0.011625276580196076	25	59
HHIP	ENSP00000296575	0.9850299018045323	luad	0.008840568319945563	29	60
ZBTB45	ENSP00000346603	0.9850299018045323	luad	0.005633791907444757	23	46
FBXL7	ENSP00000423630	0.9850299018045323	luad	-0.012911499461611853	10	18
KBTBD8	ENSP00000401878	0.9850299018045323	luad	0.01096408857516995	12	18
POLR1D	ENSP00000382604	0.9850299018045323	luad	0.007618297593433063	17	40
PFKFB3	ENSP00000492001	0.9850299018045323	luad	0.002972441046661556	31	70
SPG21	ENSP00000204566	0.9850299018045323	luad	0.003386554170628109	31	70
CNBP	ENSP00000399488	0.9850299018045323	luad	-0.010502246556107098	31	70
GTF3C2	ENSP00000264720	0.9850299018045323	luad	0.0021073616075028	31	70
THOC7	ENSP00000295899	0.9850299018045323	luad	-0.002556760518241108	31	70
LRP11	ENSP00000239367	0.9850299018045323	luad	-0.013261878701460228	18	46
MPND	ENSP00000471735	0.9850299018045323	luad	0.005185332286076566	27	62
NPR1	ENSP00000357669	0.9850299018045323	luad	-0.009601902491929493	13	44
PABPC3	ENSP00000281589	0.9850299018045323	luad	-0.007875329392350361	26	58
DNAAF1	ENSP00000367815	0.9850299018045323	luad	-0.013060779142115342	31	70
TNFRSF1A	ENSP00000162749	0.9850299018045323	luad	0.00644736047864872	31	68
LRRC20	ENSP00000348043	0.9850299018045323	luad	-0.0027906174998951067	31	70
TAP1	ENSP00000346206	0.9850299018045323	luad	0.00400508532610494	31	70
ACYP1	ENSP00000238618	0.9850299018045323	luad	0.0035694313734035976	31	70
