Name,amplifications,neutral,deletions,average
ECSIT,16.0,63.0,21.0,0.09554306676420002
ECT2,64.0,33.0,3.0,0.437705898273023
ECT2L,7.0,50.0,43.0,-0.147458491731277
EDAR,9.0,78.0,13.0,0.022671999999999904
EDARADD,22.0,73.0,5.0,0.15048056586076988
EDC3,6.0,59.0,35.0,-0.09938314197017802
EDC4,2.0,37.0,61.0,-0.285342634415896
EDDM3A,14.0,68.0,18.0,0.05141600000000001
EDDM3B,14.0,68.0,18.0,0.05141600000000001
EDEM1,7.0,70.0,23.0,-0.0264335979156221
EDEM2,34.0,62.0,4.0,0.22777287906155316
EDEM3,22.0,74.0,4.0,0.16853658757772014
EDF1,17.0,51.0,32.0,-0.027793999999999985
EDIL3,1.0,44.0,55.0,-0.22290451972379002
EDN1,29.0,55.0,16.0,0.16358300000000012
EDN2,21.0,70.0,9.0,0.17452399999999998
EDN3,44.0,53.0,3.0,0.28279937504822983
EDNRA,5.0,51.0,44.0,-0.16367800640302613
EDNRB,9.0,51.0,40.0,-0.08168000000000002
EED,23.0,63.0,14.0,0.12555484992443003
EEF1A1,13.0,71.0,16.0,0.03447389574171989
EEF1A2,36.0,59.0,5.0,0.21339269483811493
EEF1B2,15.0,77.0,8.0,0.10118217132124001
EEF1D,62.0,34.0,4.0,0.48794800000000005
EEF1E1,30.0,52.0,18.0,0.1339637448933101
EEF1G,20.0,74.0,6.0,0.119186536032914
EEF2,0.0,24.0,76.0,-0.3638985189935599
EEFSEC,30.0,61.0,9.0,0.20931536500558984
EEPD1,9.0,76.0,15.0,0.05997647876184398
EFCAB1,31.0,63.0,6.0,0.2090536168566736
EFCAB11,7.0,60.0,33.0,-0.07932374285228795
EFCAB12,33.0,58.0,9.0,0.20014876070158694
EFCAB13,1.0,54.0,45.0,-0.18067088489272987
EFCAB14,18.0,74.0,8.0,0.12542554365671313
EFCAB2,25.0,68.0,7.0,0.150569810388056
EFCAB3,9.0,59.0,32.0,-0.06834256611919001
EFCAB4A,4.0,54.0,42.0,-0.141129150399461
EFCAB4B,34.0,54.0,12.0,0.21230768967943003
EFCAB6,1.0,27.0,72.0,-0.38200427761281686
EFCAB7,7.0,78.0,15.0,0.03987984948377899
EFCAB9,7.0,68.0,25.0,-0.0165850000000001
EFCC1,33.0,58.0,9.0,0.2038907093473969
EFEMP1,21.0,71.0,8.0,0.12787090969305
EFEMP2,24.0,74.0,2.0,0.19861014592292997
EFHB,7.0,74.0,19.0,-0.0062564731472879885
EFHC1,14.0,75.0,11.0,0.11654973706022996
EFHD1,10.0,68.0,22.0,-0.015204426243743003
EFHD2,9.0,65.0,26.0,-0.02761700000000006
EFNA1,36.0,63.0,1.0,0.26111746907657013
EFNA2,0.0,23.0,77.0,-0.36345620313347005
EFNA3,36.0,63.0,1.0,0.2559430000000001
EFNA4,37.0,62.0,1.0,0.25847964278415014
EFNA5,4.0,52.0,44.0,-0.17953232347444995
EFNB2,10.0,51.0,39.0,-0.07284158368265002
EFNB3,5.0,36.0,59.0,-0.2177794635696101
EFR3A,63.0,31.0,6.0,0.49827457205561987
EFR3B,18.0,71.0,11.0,0.09309784492892707
EFS,11.0,67.0,22.0,-0.0217047411589653
EFTUD1,12.0,55.0,33.0,-0.04800858879925199
